parameterName,description
BlockedReason0091,Generated blocked reason information
BlockedReason0092,Generated blocked reason information
BlockedReason0093,Generated blocked reason information
BlockedReason0094,Generated blocked reason information
BlockedReason0095,Generated blocked reason information
BlockedReason0096,Generated blocked reason information
BlockedReason0097,Generated blocked reason information
BlockedReason0098,Generated blocked reason information
BlockedReason0099,Generated blocked reason information
BlockedReason0100,Generated blocked reason information
MFCFlowRate,Mass flow controller flow rate
MFCCurrState,The current state of the MFC
RampRate,Temperature ramp rate on hot plate
Temperature,Current temperature on the hot plate
TempSetpoint,Target hot plate temperature
ValveVoltage,Current valve control voltage
ValveCurrState,The current state of the valve
ValveVoltage,Current valve control voltage
ValveCurrState,The current state of the valve
MaterialID,Identifier of the material in the location.  This is a generic parameter defined for all material locations and will provide the same value as SubstID
SubstrateLocationCurrState,128 characters maximum; State Id of the current state of the SubstrateLocation state machine.  This value matches the SubstLocState with the exception of NoState
DisableEvents,Indicates if the transitions for this substrate location either generate (false) or do not generate (true) events to the host.  This parameter corresponds to the E90 SubstrateLocation DisableEvents attribute
SubstID,"Substrate identifier relevant to the location.  This parameter merges the E90 SubstrateLocation SubstID attribute, the SubstrLocSubstrIDi SV, and the SubstLocSubstID DV (since EDA identifies instances with the event sourceID)"
SubstID_1,"Substrate identifier relevant to the location.  This parameter merges the E90 SubstrateLocation SubstID attribute, the SubstrLocSubstrIDi SV, and the SubstLocSubstID DV (since EDA identifies instances with the event sourceID)"
SubstLocState,"Substrate location state for the location.  This parameter merges the E90 SubstrateLocation SubstLocState attribute, SubstLocStatei SV, and the SubstLocState DV (since EDA identifies instances with the event sourceID)"
SubstLocState_1,"Substrate location state for the location.  This parameter merges the E90 SubstrateLocation SubstLocState attribute, SubstLocStatei SV, and the SubstLocState DV (since EDA identifies instances with the event sourceID)"
SubstLocID,Identifier of the substrate location.  This parameter merges the E90 SubstLocIDi SV and the SubstLocID DV (since EDA identifies instances with the event sourceID).  This value never changes and should match the name of the MaterialLocation
SubstLocID_1,Identifier of the substrate location.  This parameter merges the E90 SubstLocIDi SV and the SubstLocID DV (since EDA identifies instances with the event sourceID).  This value never changes and should match the name of the MaterialLocation
EPTModuleCurrState,State Id of the current state of the EPTModule state machine.  This value matches the EPTState with the exception of NoState
EPTModulePrevState,State Id of the previous state of the EPTModule state machine.  This value matches the PreviousEPTState with the exception of NoState
BlockedReason,A numeric code that identifies the most recent blocked condition of the related EPT module.  This parameter merges the E116 EPTTracker BlockedReason attribute and the BlockedReason DV (since EDA identifies instances with the event sourceID)
BlockedReasonText,A description of the most recent blocked condition of the Equipment or EPT module.  This parameter merges the E116 EPTTracker BlockedReason attribute and the BlockedReasonText DV (since EDA allows attributes in reports)
DisableEventOnTransition,A list of zero to nine EPT State Model transitions for which event reporting to the host are disabled.  This parameter corresponds to the E116 EPTTracker DisableEventOnTransition attribute
EPTElementType,A numeric code that indicates whether this EPTTracker object refers to the equipment or an EPT module.  This parameter corresponds to the E116 EPTTracker EPTElementType attribute
EPTState,The current EPT state of this equipment or EPT module.  This parameter merges the EPTTracker E116 EPTState attribute and the EPTState DV (since EDA identifies instances with the event sourceID)
EPTStateTime,"Time spent in the previous EPT State, prior to entering the current EPTState.  This parameter merges the E116 EPTTracker EPTStateTime attribute and the EPTStateTime DV (since EDA identifies instances with the event sourceID)"
EPTElementName,"A human-understandable name for this equipment or module, which must be unique amoung all objects of EPTTracker type.  This parameter corresponds to the E116 EPTTracker EPTElementName attribute"
PreviousEPTState,"The previous EPT state of this equipment or EPT module, prior to entering the current state.  This parameter merges the E116 EPTTracker PreviousEPTState attribute and the PreviousEPTState DV (since EDA identifies instances with the event sourceID)"
PreviousTaskName,"Name of the EPT Task previously running on the EPT module, prior to starting the current EPT Task.  This parameter merges the E116 EPTTracker PreviousTaskName attribute and the PreviousTaskName DV (since EDA identifies instances with the event sourceID)"
PreviousTaskType,"Type of the EPT Task previously running on this EPT module, prior to starting the current EPT Task.  This parameter merges the E116 EPTTracker PreviousTaskType attribute and the PreviousTaskType DV (since EDA identifies instances with the event sourceID)"
TaskName,Name of the EPT Task currently running on this EPT module.  This parameter merges the E116 EPTTracker TaskName attribute and the TaskName DV (since EDA identifies instances with the event sourceID)
TaskType,The type of EPT Task currently running on this EPT module.  This parameter merges the E116 EPTTracker TaskType attribute and the TaskType DV (since EDA identifies instances with the event sourceID)
TransitionTimestamp,"The timestamp when the most recent transition occurred and collection event was triggered that set the tracker to its current state.  This parameter corresponds to the E116 EPTTracker TransitionTimestamp attribute.  This parameter is reported in the standard EDA time format, not the GEM selected format"
Transition,The most recent transition that updated the tracker.  This parameter corresponds to the E116 EPTTracker Transition attribute
TrackerEventID,Identifier for the event that triggered for a change in the state model for this tracker.  This parameter corresponds to the E116 EPTTracker TrackerEventID attribute
TrackerEDAEventID,EDA event that was triggered for a change in the state model for this tracker.  This parameter corresponds to the TrackerEventID parameter except it provides the EDA names and sources for the event
RecID,Recipe Identifier - The identifier of the master recipe executing on the equipment
ArmPosition,The arm position in cartesian coordinates measured in centimeters
DispTime,Coat dispense time in milliseconds
DispVolume,Volume of fluid dispensed on the wafer
DispenseArmCurrState,The current state of the dispense arm
dispenseTemperature,The current temperature of the dispense fluid
temperatureSetpoint,Defines the temperature set point for the dispense fluid
ZAxisEncoder,Z Axis encoder count for current position
XAxisEncoder,X Axis encoder count for current position
PhotoresistPumpCurrState,The current state of the photoresist pump
ChuckPosition,The position of the chuck in cartesian coordinates measured in centimeters
SpinSpeed,Current speed of the spin chuck
SpinChuckSpinCurrState,The current state of the spin chuck spinner
SpinChuckSpinPrevState,The previous state of the spin chuck spinner
SpinChuckPositionCurrState,The current state of the spin chuck position
ZAxisEncoder,Z Axis encoder count for current position
ThetaEncoderSpeed,Encoder counts per second on Theta motor
MaterialID,Identifier of the material in the location.  This is a generic parameter defined for all material locations and will provide the same value as SubstID
DisableEvents,Indicates if the transitions for this substrate location either generate (false) or do not generate (true) events to the host.  This parameter corresponds to the E90 SubstrateLocation DisableEvents attribute
SubstID,"Substrate identifier relevant to the location.  This parameter merges the E90 SubstrateLocation SubstID attribute, the SubstrLocSubstrIDi SV, and the SubstLocSubstID DV (since EDA identifies instances with the event sourceID)"
SubstLocState,"Substrate location state for the location.  This parameter merges the E90 SubstrateLocation SubstLocState attribute, SubstLocStatei SV, and the SubstLocState DV (since EDA identifies instances with the event sourceID)"
SubstLocID,Identifier of the substrate location.  This parameter merges the E90 SubstLocIDi SV and the SubstLocID DV (since EDA identifies instances with the event sourceID).  This value never changes and should match the name of the MaterialLocation
ArmHome,The arm home position in cylindrical coordinates
ArmPosition,The arm position in cylindrical coordinates
RobotPosition,The robot position in cartesian coordinates
RobotHome,The robot home position in cartesian coordinates
TransferRobotCurrState,The current state of the transfer robot
TransferArmCurrState,The current state of the transfer arm
Axis1Encoder,Axis 1 encoder count for current position
Axis2Encoder,Axis 2 encoder count for current position
Axis3Encoder,Axis 3 encoder count for current position
Axis4Encoder,Axis 4 encoder count for current position
Axis5Encoder,Axis 5 encoder count for current position
MaterialID,Identifier of the material in the location.  This is a generic parameter defined for all material locations and will provide the same value as SubstID
DisableEvents,Indicates if the transitions for this substrate location either generate (false) or do not generate (true) events to the host.  This parameter corresponds to the E90 SubstrateLocation DisableEvents attribute
SubstID,"Substrate identifier relevant to the location.  This parameter merges the E90 SubstrateLocation SubstID attribute, the SubstrLocSubstrIDi SV, and the SubstLocSubstID DV (since EDA identifies instances with the event sourceID)"
SubstLocState,"Substrate location state for the location.  This parameter merges the E90 SubstrateLocation SubstLocState attribute, SubstLocStatei SV, and the SubstLocState DV (since EDA identifies instances with the event sourceID)"
SubstLocID,Identifier of the substrate location.  This parameter merges the E90 SubstLocIDi SV and the SubstLocID DV (since EDA identifies instances with the event sourceID).  This value never changes and should match the name of the MaterialLocation
ManifoldPressure,Pressure reading from the output manifold on the vacuum pump
VacuumPumpCurrState,The current state of the vacuum pump
PortStateInfoList,List of PortStateInfo for all load ports
PortTransferStateList,Current transfer state for all load ports
LoadPortReservationStateList,Current reservation state for all load ports
PortAssociationStateList,Current association state for all load ports
LoadPortTransferCurrState,State Id of the current state of the LoadPortTransfer state machine.  This value matches the PortTransferState with the exception of NoState
LoadPortTransferPrevState,State Id of the previous state of the LoadPortTransfer state machine
LoadPortReservationCurrState,State Id of the current state of the LoadPortReservation state machine.  This value matches the LoadPortReservationState with the exception of NoState
LoadPortCarrierAssociationCurrState,State Id of the current state of the LoadPortCarrierAssociation state machine.  This value matches the PortAssociationState with the exception of NoState
AccessModeCurrState,State Id of the current state of the AccessMode state machine.  This value matches the AccessMode with the exception of NoState
PortTransferState,Current transfer state of this load port.  This parameter merges the E87 PortTransferStatei SV and the PortTransferState DV (since EDA identifies instances with the event sourceID)
PortTransferState_1,Current transfer state of this load port.  This parameter merges the E87 PortTransferStatei SV and the PortTransferState DV (since EDA identifies instances with the event sourceID)
LoadPortReservationState,Reservation state of the Load Port.  This parameter merges the E87 LoadPortReservationStatei SV and the LoadPortReservationState DV (since EDA identifies instances with the event sourceID)
LoadPortReservationState_1,Reservation state of the Load Port.  This parameter merges the E87 LoadPortReservationStatei SV and the LoadPortReservationState DV (since EDA identifies instances with the event sourceID)
PortAssociationState,The association state of the load port .  This parameter merges the E87 PortAssociationStatei SV and the PortAssociationState DV (since EDA identifies instances with the event sourceID)
PortAssociationState_1,The association state of the load port .  This parameter merges the E87 PortAssociationStatei SV and the PortAssociationState DV (since EDA identifies instances with the event sourceID)
AccessMode,Access mode of the Load Port.  This parameter merges the E87 AccessModei SV and the AccessMode DV (since EDA identifies instances with the event sourceID)
AccessMode_1,Access mode of the Load Port.  This parameter merges the E87 AccessModei SV and the AccessMode DV (since EDA identifies instances with the event sourceID)
PortStateInfo,PortAssociationState combined with the PortTransferState of this Load Port.  This parameter merges the E87 PortStateInfoi SV and the PortStateInfo DV (since EDA identifies instances with the event sourceID)
PortStateInfo_1,PortAssociationState combined with the PortTransferState of this Load Port.  This parameter merges the E87 PortStateInfoi SV and the PortStateInfo DV (since EDA identifies instances with the event sourceID)
PortID,Load port identifier as defined in E87.  This number will uniquely correspond to this Load Port Subsystem instance.  This parameter corresponds to the E87 PortIDi SV and the PortID DV (since EDA identifies instances with the event sourceID)
PortID_1,Load port identifier as defined in E87.  This number will uniquely correspond to this Load Port Subsystem instance.  This parameter corresponds to the E87 PortIDi SV and the PortID DV (since EDA identifies instances with the event sourceID)
CarrierID,Carrier identifier of the carrier at the loadport (empty for none).  This parameter merges the E87 Load Port LocationID DV and LocationIDi DV.
LocationID,Identifier of the current carrier location.  This parameter merges the E87 Load Port CarrierID DV and CarrierIDi SV.
MaterialID,Identifier of the material in the location (empty for none).  This parameter corresponds to the E87 CarrierIDi SV
LocationID,Identifier of the carrier location.  This parameter corresponds to the E87 LocationIDi SV
MaterialID,Identifier of the material in the location (empty for none).  This parameter corresponds to the E87 CarrierIDi SV
LocationID,Identifier of the carrier location.  This parameter corresponds to the E87 LocationIDi SV
PortTransferState,Current transfer state of this load port.  This parameter merges the E87 PortTransferStatei SV and the PortTransferState DV (since EDA identifies instances with the event sourceID)
LoadPortReservationState,Reservation state of the Load Port.  This parameter merges the E87 LoadPortReservationStatei SV and the LoadPortReservationState DV (since EDA identifies instances with the event sourceID)
PortAssociationState,The association state of the load port .  This parameter merges the E87 PortAssociationStatei SV and the PortAssociationState DV (since EDA identifies instances with the event sourceID)
AccessMode,Access mode of the Load Port.  This parameter merges the E87 AccessModei SV and the AccessMode DV (since EDA identifies instances with the event sourceID)
PortStateInfo,PortAssociationState combined with the PortTransferState of this Load Port.  This parameter merges the E87 PortStateInfoi SV and the PortStateInfo DV (since EDA identifies instances with the event sourceID)
PortID,Load port identifier as defined in E87.  This number will uniquely correspond to this Load Port Subsystem instance.  This parameter corresponds to the E87 PortIDi SV and the PortID DV (since EDA identifies instances with the event sourceID)
MaterialID,Identifier of the material in the location (empty for none).  This parameter corresponds to the E87 CarrierIDi SV
LocationID,Identifier of the carrier location.  This parameter corresponds to the E87 LocationIDi SV
MaterialID,Identifier of the material in the location (empty for none).  This parameter corresponds to the E87 CarrierIDi SV
LocationID,Identifier of the carrier location.  This parameter corresponds to the E87 LocationIDi SV
MaterialID,80 characters maximum; Identifier of the material in the location.  This is a generic parameter defined for all material locations and will provide the same value as SubstID
DisableEvents,Indicates if the transitions for this substrate location either generate (false) or do not generate (true) events to the host.  This parameter corresponds to the E90 SubstrateLocation DisableEvents attribute
DisableEvents_1,Indicates if the transitions for this substrate location either generate (false) or do not generate (true) events to the host.  This parameter corresponds to the E90 SubstrateLocation DisableEvents attribute
SubstID,"Substrate identifier relevant to the location.  This parameter merges the E90 SubstrateLocation SubstID attribute, the SubstrLocSubstrIDi SV, and the SubstLocSubstID DV (since EDA identifies instances with the event sourceID)"
SubstLocState,"Substrate location state for the location.  This parameter merges the E90 SubstrateLocation SubstLocState attribute, SubstLocStatei SV, and the SubstLocState DV (since EDA identifies instances with the event sourceID)"
SubstLocID,Identifier of the substrate location.  This parameter merges the E90 SubstLocIDi SV and the SubstLocID DV (since EDA identifies instances with the event sourceID).  This value never changes and should match the name of the MaterialLocation
ArmHome,The arm home position in cylindrical coordinates
ArmPosition,The arm position in cylindrical coordinates
RobotPosition,The robot position in cartesian coordinates
RobotHome,The robot home position in cartesian coordinates
TransferRobotCurrState,The current state of the transfer robot
TransferArmCurrState,The current state of the transfer arm
HardwareErrorDetail,Provides a description of the hardware error found during initialization
Axis1Encoder,Axis 1 encoder count for current position
Axis2Encoder,Axis 2 encoder count for current position
Axis3Encoder,Axis 3 encoder count for current position
Axis4Encoder,Axis 4 encoder count for current position
Axis5Encoder,Axis 5 encoder count for current position
MaterialID,Identifier of the material in the location.  This is a generic parameter defined for all material locations and will provide the same value as SubstID
DisableEvents,Indicates if the transitions for this substrate location either generate (false) or do not generate (true) events to the host.  This parameter corresponds to the E90 SubstrateLocation DisableEvents attribute
SubstID,"Substrate identifier relevant to the location.  This parameter merges the E90 SubstrateLocation SubstID attribute, the SubstrLocSubstrIDi SV, and the SubstLocSubstID DV (since EDA identifies instances with the event sourceID)"
SubstLocState,"Substrate location state for the location.  This parameter merges the E90 SubstrateLocation SubstLocState attribute, SubstLocStatei SV, and the SubstLocState DV (since EDA identifies instances with the event sourceID)"
SubstLocID,Identifier of the substrate location.  This parameter merges the E90 SubstLocIDi SV and the SubstLocID DV (since EDA identifies instances with the event sourceID).  This value never changes and should match the name of the MaterialLocation
EPTEquipmentCurrState,State Id of the current state of the EPTEquipment state machine.  This value matches the EPTState with the exception of NoState
EPTEquipmentPrevState,State Id of the previous state of the EPTEquipment state machine.  This value matches the PreviousEPTState with the exception of NoState
EPTState,The current EPT state of this equipment or EPT module.  This parameter merges the EPTTracker E116 EPTState attribute and the EPTState DV (since EDA identifies instances with the event sourceID)
PreviousEPTState,"The previous EPT state of this equipment or EPT module, prior to entering the current state.  This parameter merges the E116 EPTTracker PreviousEPTState attribute and the PreviousEPTState DV (since EDA identifies instances with the event sourceID)"
CtrlJobID,The identifier of the control job containing the incorrect MtrlOutSpec
SubstID,The identifier of the substrate that could not be processed due to the MtrlOutSpec
QueuedCJobs,Ordered list of ControlJobs currently in the Queue
QueueAvailableSpace,Indicates the number of jobs which the queue can accept.  This parameter corresponds to the E94 QueueAvailableSpace SV
SetUpName,Host sets this to define the operational condition of the equipment.  This parameter corresponds to the E94 SetUpName EC
CarrierLocationMatrix,A list of all carriers at/in the equipment
DateTime,Current date and time of the clock.  This corresponds to the E148 TS-Clock DateTime attribute
UseTimeSync,Enables (true) or Disables (false) network time synchronization.  This corresponds to the E148 TS-Clock UseTimeSync attribute
Offset,Total offset to the time synchronization reference clock.  This corresponds to the E148 TS-Clock Offset attribute
TimeServers,Time server IP addresses.  This corresponds to the E148 TS-Clock TimeServers attribute
TimeSyncInterval,Synchronization interval with the time server.  This corresponds to the E148 TS-Clock TimeSyncInterval attribute
LastSyncTime,The time when the equipment clock was last synchronized.  This corresponds to the E148 TS-Clock LastSyncTime attribute
LastSyncTimeServer,IP address of the time server used to synchronize last.  This corresponds to the E148 TS-Clock LastSyncTimeServer attribute
Status,The NTP system status word that appears in the status filed of the response to a read variables command with a zero association identifier.  This corresponds to the E148 TS-Clock Status attribute
